Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.27     0.00   233834     0.00     0.00  std::remove_reference<std::pair<float, Operation>&>::type&& std::move<std::pair<float, Operation>&>(std::pair<float, Operation>&)
  0.00      1.27     0.00   233834     0.00     0.00  std::_Rb_tree_iterator<std::pair<float, Operation> >& std::forward<std::_Rb_tree_iterator<std::pair<float, Operation> >&>(std::remove_reference<std::_Rb_tree_iterator<std::pair<float, Operation> >&>::type&)
  0.00      1.27     0.00   233834     0.00     0.00  bool& std::forward<bool&>(std::remove_reference<bool&>::type&)
  0.00      1.27     0.00   233834     0.00     0.00  std::_Rb_tree_iterator<std::pair<float, Operation> >&& std::forward<std::_Rb_tree_iterator<std::pair<float, Operation> > >(std::remove_reference<std::_Rb_tree_iterator<std::pair<float, Operation> > >::type&)
  0.00      1.27     0.00   233834     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      1.27     0.00   233834     0.00     0.00  std::pair<std::__strip_reference_wrapper<std::decay<float>::type>::__type, std::__strip_reference_wrapper<std::decay<Operation&>::type>::__type> std::make_pair<float, Operation&>(float&&, Operation&)
  0.00      1.27     0.00   224483     0.00     0.00  std::vector<Operation, std::allocator<Operation> >::size() const
  0.00      1.27     0.00   216281     0.00     0.00  bool __gnu_cxx::operator!=<Operation const*, std::vector<Operation, std::allocator<Operation> > >(__gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > > const&, __gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > > const&)
  0.00      1.27     0.00   213041     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_get_Tp_allocator()
  0.00      1.27     0.00   200225     0.00     0.00  std::__new_allocator<Operation>::~__new_allocator()
  0.00      1.27     0.00   198403     0.00     0.00  std::__new_allocator<std::vector<int, std::allocator<int> > >::~__new_allocator()
  0.00      1.27     0.00   194644     0.00     0.00  std::_Vector_base<Operation, std::allocator<Operation> >::_M_deallocate(Operation*, unsigned long)
  0.00      1.27     0.00   186208     0.00     0.00  std::remove_reference<std::_Vector_base<Operation, std::allocator<Operation> >::_Vector_impl&>::type&& std::move<std::_Vector_base<Operation, std::allocator<Operation> >::_Vector_impl&>(std::_Vector_base<Operation, std::allocator<Operation> >::_Vector_impl&)
  0.00      1.27     0.00   186208     0.00     0.00  std::remove_reference<std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_Vector_impl&>::type&& std::move<std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_Vector_impl&>(std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_Vector_impl&)
  0.00      1.27     0.00   181000     0.00     0.00  std::_Rb_tree_node<std::pair<float, Operation> >* std::_Rb_tree<std::pair<float, Operation>, std::pair<float, Operation>, std::_Identity<std::pair<float, Operation> >, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >::_Alloc_node::operator()<std::pair<float, Operation> >(std::pair<float, Operation>&&) const
  0.00      1.27     0.00   181000     0.00     0.00  std::__new_allocator<std::_Rb_tree_node<std::pair<float, Operation> > >::deallocate(std::_Rb_tree_node<std::pair<float, Operation> >*, unsigned long)
  0.00      1.27     0.00   181000     0.00     0.00  std::__new_allocator<std::_Rb_tree_node<std::pair<float, Operation> > >::allocate(unsigned long, void const*)
  0.00      1.27     0.00   181000     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<std::pair<float, Operation> >*&, std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node<std::pair<float, Operation> >*&, std::_Rb_tree_node_base*&)
  0.00      1.27     0.00   181000     0.00     0.00  std::_Rb_tree_iterator<std::pair<float, Operation> > std::_Rb_tree<std::pair<float, Operation>, std::pair<float, Operation>, std::_Identity<std::pair<float, Operation> >, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >::_M_insert_<std::pair<float, Operation>, std::_Rb_tree<std::pair<float, Operation>, std::pair<float, Operation>, std::_Identity<std::pair<float, Operation> >, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::pair<float, Operation>&&, std::_Rb_tree<std::pair<float, Operation>, std::pair<float, Operation>, std::_Identity<std::pair<float, Operation> >, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >::_Alloc_node&)
  0.00      1.27     0.00   181000     0.00     0.00  std::_Rb_tree<std::pair<float, Operation>, std::pair<float, Operation>, std::_Identity<std::pair<float, Operation> >, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >::_Alloc_node::_Alloc_node(std::_Rb_tree<std::pair<float, Operation>, std::pair<float, Operation>, std::_Identity<std::pair<float, Operation> >, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >&)
  0.00      1.27     0.00   181000     0.00     0.00  std::_Rb_tree<std::pair<float, Operation>, std::pair<float, Operation>, std::_Identity<std::pair<float, Operation> >, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >::_M_get_node()
  0.00      1.27     0.00   181000     0.00     0.00  std::_Rb_tree<std::pair<float, Operation>, std::pair<float, Operation>, std::_Identity<std::pair<float, Operation> >, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >::_M_put_node(std::_Rb_tree_node<std::pair<float, Operation> >*)
